Player,Games,RecTD,RshTD,TotalTouchdowns
A'Shawn Robinson,16.0,0.0,0.0,0.0
A.J. Green,158.0,70.0,0.0,70.0
A.J. Klein,15.0,0.0,0.0,0.0
A.J. McCarron,2.0,0.0,1.0,1.0
Aaron Colvin,22.0,0.0,0.0,0.0
Aaron Curry,16.0,0.0,0.0,0.0
Aaron Dobson,12.0,4.0,0.0,4.0
Aaron Hernandez,38.0,18.0,0.0,18.0
Aaron Jones,86.0,17.0,43.0,60.0
Aaron Pettrey,2.0,0.0,0.0,0.0
Aaron Rodgers,144.0,0.0,24.0,24.0
Aaron Ross,30.0,0.0,0.0,0.0
Aaron Rouse,14.0,0.0,0.0,0.0
Aaron Schobel,16.0,0.0,0.0,0.0
Aaron Shea,42.0,7.0,0.0,7.0
Aaron Walker,16.0,1.0,0.0,1.0
Aaron Williams,7.0,0.0,0.0,0.0
Abdul Hodge,8.0,0.0,0.0,0.0
Ace Sanders,15.0,1.0,0.0,1.0
Adalius Thomas,48.0,0.0,0.0,0.0
Adam Archuleta,43.0,0.0,0.0,0.0
Adam Bergen,30.0,2.0,0.0,2.0
Adam Carriker,16.0,0.0,0.0,0.0
Adam Jennings,16.0,1.0,0.0,1.0
Adam Jones,67.0,0.0,0.0,0.0
Adam Podlesh,16.0,0.0,0.0,0.0
Adam Shaheen,43.0,7.0,0.0,7.0
Adewale Ogunleye,28.0,0.0,0.0,0.0
Adrian Amos,13.0,0.0,0.0,0.0
Adrian Clayborn,29.0,0.0,0.0,0.0
Ahkello Witherspoon,10.0,0.0,0.0,0.0
Ahmad Bradshaw,103.0,12.0,36.0,48.0
Ahmad Carroll,14.0,0.0,0.0,0.0
Ahmed Plummer,15.0,0.0,0.0,0.0
Akeem Ayers,16.0,0.0,0.0,0.0
Akin Ayodele,16.0,0.0,0.0,0.0
Albert Wilson,63.0,12.0,1.0,13.0
Aldon Smith,32.0,0.0,0.0,0.0
Aldrick Robinson,77.0,14.0,0.0,14.0
Alec Ogletree,44.0,0.0,0.0,0.0
Alex Bannister,32.0,1.0,0.0,1.0
Alex Collins,50.0,1.0,18.0,19.0
Alex Henery,50.0,0.0,0.0,0.0
Alfonzo Dennard,10.0,0.0,0.0,0.0
Alfred Blue,73.0,2.0,8.0,10.0
Alfred Morris,113.0,1.0,35.0,36.0
Alge Crumpler,155.0,39.0,0.0,39.0
Allen Bailey,16.0,0.0,0.0,0.0
Allen Hurns,82.0,25.0,0.0,25.0
Allen Lazard,56.0,20.0,0.0,20.0
Allen Robinson,109.0,43.0,0.0,43.0
Alphonso Smith,23.0,0.0,0.0,0.0
Alshon Jeffery,109.0,46.0,1.0,47.0
Alterraun Verner,32.0,0.0,0.0,0.0
Alvin Kamara,88.0,22.0,49.0,71.0
Alvin Pearman,30.0,1.0,2.0,3.0
Amari Cooper,125.0,55.0,0.0,55.0
Ameer Abdullah,98.0,8.0,6.0,14.0
Andre Branch,13.0,0.0,0.0,0.0
Andre Brown,34.0,5.0,11.0,16.0
Andre Caldwell,59.0,11.0,0.0,11.0
Andre Carter,16.0,0.0,0.0,0.0
Andre Dyson,42.0,0.0,0.0,0.0
Andre Ellington,49.0,3.0,10.0,13.0
Andre Hal,16.0,0.0,0.0,0.0
Andre Hall,10.0,0.0,2.0,2.0
Andre Holmes,72.0,15.0,0.0,15.0
Andre Johnson,161.0,53.0,0.0,53.0
Andre King,15.0,0.0,0.0,0.0
Andre Roberts,119.0,14.0,0.0,14.0
Andre Williams,32.0,0.0,8.0,8.0
Andre' Davis,62.0,17.0,0.0,17.0
Andrew Luck,63.0,0.0,14.0,14.0
Andrew Quarless,45.0,6.0,0.0,6.0
Andrew Whitworth,16.0,1.0,0.0,1.0
Andy Dalton,106.0,1.0,22.0,23.0
Andy Janovich,63.0,1.0,4.0,5.0
Angelo Crowell,16.0,0.0,0.0,0.0
Anquan Boldin,202.0,82.0,1.0,83.0
Anthony Allen,54.0,8.0,1.0,9.0
Anthony Barr,26.0,0.0,0.0,0.0
Anthony Becht,126.0,21.0,0.0,21.0
Anthony Brown,26.0,0.0,0.0,0.0
Anthony Castonzo,16.0,1.0,0.0,1.0
Anthony Chickillo,16.0,0.0,0.0,0.0
Anthony Dixon,96.0,0.0,11.0,11.0
Anthony Fasano,164.0,36.0,0.0,36.0
Anthony Gonzalez,29.0,7.0,0.0,7.0
Anthony Harris,14.0,0.0,0.0,0.0
Anthony Henry,41.0,0.0,0.0,0.0
Anthony Johnson,119.0,7.0,9.0,16.0
Anthony McCoy,16.0,3.0,0.0,3.0
Anthony Miller,205.0,75.0,1.0,76.0
Anthony Parker,61.0,0.0,0.0,0.0
Anthony Sherman,77.0,4.0,1.0,5.0
Anthony Smith,29.0,0.0,0.0,0.0
Anthony Spencer,13.0,0.0,0.0,0.0
Anthony Thomas,77.0,1.0,23.0,24.0
Antoine Bethea,16.0,0.0,0.0,0.0
Antoine Cason,32.0,0.0,0.0,0.0
Antone Exum,15.0,0.0,0.0,0.0
Antonio Allen,16.0,0.0,0.0,0.0
Antonio Andrews,14.0,0.0,3.0,3.0
Antonio Brown,92.0,39.0,0.0,39.0
Antonio Bryant,106.0,30.0,0.0,30.0
Antonio Callaway,16.0,5.0,0.0,5.0
Antonio Cromartie,48.0,0.0,0.0,0.0
Antonio Smith,16.0,0.0,0.0,0.0
Antrel Rolle,47.0,0.0,0.0,0.0
Antwaan Randle El,111.0,15.0,0.0,15.0
Antwan Applewhite,12.0,0.0,0.0,0.0
Antwan Lake,13.0,0.0,0.0,0.0
Antwan Odom,16.0,0.0,0.0,0.0
Antwan Peek,14.0,0.0,0.0,0.0
Aqib Talib,79.0,0.0,0.0,0.0
Arian Foster,60.0,12.0,38.0,50.0
Armando Allen,15.0,0.0,1.0,1.0
Armon Binns,11.0,1.0,0.0,1.0
Arnaz Battle,56.0,11.0,1.0,12.0
Arnold Jackson,16.0,1.0,0.0,1.0
Arrelious Benn,44.0,6.0,0.0,6.0
Arthur Maulet,12.0,0.0,0.0,0.0
Artie Burns,16.0,0.0,0.0,0.0
Artose Pinner,37.0,0.0,8.0,8.0
Asante Samuel,73.0,0.0,0.0,0.0
Ashley Lelie,92.0,15.0,0.0,15.0
Ashton Youboty,6.0,0.0,0.0,0.0
Auden Tate,19.0,2.0,0.0,2.0
Aundrae Allison,11.0,0.0,0.0,0.0
Austin Collie,41.0,16.0,0.0,16.0
Austin Hooper,105.0,25.0,0.0,25.0
Austin Johnson,17.0,1.0,1.0,2.0
Austin Pettis,39.0,9.0,0.0,9.0
Austin Seferian-Jenkins,43.0,11.0,0.0,11.0
B.J. Askew,10.0,0.0,2.0,2.0
B.J. Raji,16.0,0.0,1.0,1.0
Baker Mayfield,72.0,0.0,6.0,6.0
Barrett Green,10.0,0.0,0.0,0.0
Barry Church,32.0,0.0,0.0,0.0
Bashaud Breeland,38.0,0.0,0.0,0.0
Beanie Wells,51.0,0.0,24.0,24.0
Bear Pascoe,31.0,2.0,0.0,2.0
Ben Braunecker,11.0,1.0,0.0,1.0
Ben Hartsock,16.0,1.0,0.0,1.0
Ben Jones,53.0,3.0,21.0,24.0
Ben Koyack,30.0,1.0,0.0,1.0
Ben Leber,15.0,0.0,0.0,0.0
Ben Obomanu,44.0,7.0,0.0,7.0
Ben Patrick,17.0,4.0,0.0,4.0
Ben Roethlisberger,161.0,0.0,20.0,20.0
Ben Tate,51.0,0.0,14.0,14.0
Ben Troupe,39.0,7.0,0.0,7.0
Ben Utecht,26.0,3.0,0.0,3.0
BenJarvus Green-Ellis,72.0,0.0,42.0,42.0
Bennie Fowler,47.0,6.0,0.0,6.0
Bernard Berrian,79.0,24.0,0.0,24.0
Bernard Pierce,45.0,0.0,5.0,5.0
Bernard Pollard,45.0,0.0,0.0,0.0
Bernard Scott,45.0,0.0,4.0,4.0
Bethel Johnson,39.0,4.0,0.0,4.0
Bilal Powell,94.0,5.0,15.0,20.0
Billy Bajema,13.0,2.0,0.0,2.0
Billy McMullen,32.0,3.0,0.0,3.0
Bishop Sankey,29.0,1.0,3.0,4.0
Blaine Gabbert,14.0,0.0,3.0,3.0
Blair Walsh,73.0,0.0,0.0,0.0
Blair White,13.0,5.0,0.0,5.0
Blake Bell,16.0,1.0,0.0,1.0
Blake Bortles,61.0,1.0,8.0,9.0
Bo Scaife,90.0,12.0,1.0,13.0
Bo Scarbrough,6.0,0.0,1.0,1.0
Bob Sanders,6.0,0.0,0.0,0.0
Bobby Carpenter,16.0,0.0,0.0,0.0
Bobby Jackson,25.0,0.0,0.0,0.0
Bobby McCain,17.0,0.0,0.0,0.0
Bobby Myers,1.0,0.0,0.0,0.0
Bobby Wade,74.0,9.0,0.0,9.0
Boss Bailey,27.0,0.0,0.0,0.0
Brad Smith,88.0,5.0,4.0,9.0
Bradie James,16.0,0.0,0.0,0.0
Bradlee Van Pelt,3.0,0.0,1.0,1.0
Bradley Fletcher,15.0,0.0,0.0,0.0
Bradley Roby,42.0,0.0,0.0,0.0
Brady Quinn,10.0,0.0,1.0,1.0
Brandin Cooks,132.0,49.0,2.0,51.0
Brandon Banks,13.0,0.0,0.0,0.0
Brandon Bolden,117.0,7.0,12.0,19.0
Brandon Boykin,16.0,0.0,0.0,0.0
Brandon Browner,16.0,0.0,0.0,0.0
Brandon Chillar,16.0,0.0,0.0,0.0
Brandon Coleman,48.0,8.0,0.0,8.0
Brandon Flowers,51.0,0.0,0.0,0.0
Brandon Gibson,76.0,13.0,0.0,13.0
Brandon Graham,15.0,0.0,0.0,0.0
Brandon Jackson,52.0,2.0,7.0,9.0
Brandon Jacobs,107.0,4.0,60.0,64.0
Brandon Johnson,7.0,1.0,0.0,1.0
Brandon Jones,51.0,9.0,0.0,9.0
Brandon LaFell,114.0,31.0,0.0,31.0
Brandon Lloyd,117.0,36.0,0.0,36.0
Brandon Manumaleuna,142.0,13.0,0.0,13.0
Brandon McDonald,16.0,0.0,0.0,0.0
Brandon Meriweather,16.0,0.0,0.0,0.0
Brandon Pettigrew,79.0,17.0,0.0,17.0
Brandon Siler,27.0,0.0,0.0,0.0
Brandon Spoon,14.0,0.0,0.0,0.0
Brandon Tate,93.0,7.0,0.0,7.0
Brandon Weeden,6.0,0.0,1.0,1.0
Braxton Berrios,33.0,3.0,2.0,5.0
Braxton Miller,21.0,2.0,0.0,2.0
Braylon Edwards,103.0,40.0,0.0,40.0
Breshad Perriman,69.0,16.0,0.0,16.0
Brett Hundley,11.0,0.0,2.0,2.0
Brett Keisel,11.0,0.0,0.0,0.0
Brett Maher,54.0,0.0,0.0,0.0
Brian Cushing,23.0,0.0,0.0,0.0
Brian Hartline,104.0,14.0,1.0,15.0
Brian Hill,28.0,1.0,3.0,4.0
Brian Hoyer,16.0,0.0,2.0,2.0
Brian Leonard,25.0,1.0,0.0,1.0
Brian Orakpo,15.0,0.0,0.0,0.0
Brian Quick,54.0,10.0,0.0,10.0
Brian Robiskie,20.0,4.0,0.0,4.0
Brian Robison,16.0,0.0,0.0,0.0
Brian Rolle,16.0,0.0,0.0,0.0
Brian Urlacher,44.0,0.0,0.0,0.0
Brian Westbrook,91.0,25.0,34.0,59.0
Briean Boddy-Calhoun,14.0,0.0,0.0,0.0
Brock Osweiler,29.0,0.0,4.0,4.0
Brodney Pool,16.0,0.0,0.0,0.0
Bruce Carter,13.0,0.0,0.0,0.0
Bruce Davis,14.0,2.0,0.0,2.0
Bruce Ellington,31.0,5.0,1.0,6.0
Bruce Irvin,28.0,0.0,0.0,0.0
Bruce Johnson,16.0,0.0,0.0,0.0
Bruce Miller,47.0,3.0,1.0,4.0
Bruce Taylor,28.0,0.0,0.0,0.0
Bryan Scott,32.0,0.0,0.0,0.0
Bryant Johnson,139.0,16.0,0.0,16.0
Bryant McFadden,13.0,0.0,0.0,0.0
Bryce Petty,6.0,0.0,0.0,0.0
Bubba Franks,98.0,32.0,0.0,32.0
Budda Baker,14.0,0.0,0.0,0.0
Byron Jones,16.0,0.0,0.0,0.0
Byron Leftwich,53.0,0.0,10.0,10.0
Byron Pringle,57.0,9.0,0.0,9.0
C.J. Anderson,64.0,5.0,22.0,27.0
C.J. Beathard,13.0,0.0,4.0,4.0
C.J. Fiedorowicz,46.0,6.0,0.0,6.0
C.J. Prosise,25.0,1.0,2.0,3.0
C.J. Spiller,89.0,9.0,12.0,21.0
Cadillac Williams,81.0,4.0,21.0,25.0
Cairo Santos,116.0,0.0,0.0,0.0
Calais Campbell,48.0,0.0,0.0,0.0
Caleb Sturgis,68.0,0.0,0.0,0.0
Calvin Johnson,89.0,50.0,1.0,51.0
Calvin Pace,16.0,0.0,0.0,0.0
Calvin Ridley,49.0,28.0,0.0,28.0
Cam Newton,130.0,1.0,65.0,66.0
Cameron Artis-Payne,32.0,0.0,5.0,5.0
Cameron Wake,24.0,0.0,0.0,0.0
Captain Munnerlyn,64.0,0.0,0.0,0.0
Caraun Reid,21.0,0.0,0.0,0.0
Carlos Dunlap,42.0,0.0,0.0,0.0
Carlos Hyde,102.0,3.0,37.0,40.0
Carlos Polk,10.0,0.0,0.0,0.0
Carlos Rogers,39.0,0.0,0.0,0.0
Carlos Watkins,15.0,0.0,0.0,0.0
Carson Palmer,86.0,0.0,8.0,8.0
Carson Wentz,69.0,0.0,10.0,10.0
Case Keenum,59.0,0.0,6.0,6.0
Casey Crawford,11.0,1.0,0.0,1.0
Casey Hayward,65.0,0.0,0.0,0.0
Cato June,13.0,0.0,0.0,0.0
Cecil Sapp,16.0,1.0,2.0,3.0
Cecil Shorts,61.0,14.0,0.0,14.0
Cedric Benson,87.0,1.0,32.0,33.0
Cedric Griffin,16.0,0.0,0.0,0.0
Cedric Houston,20.0,0.0,7.0,7.0
Cedric Peerman,14.0,0.0,1.0,1.0
Cedric Thornton,32.0,0.0,0.0,0.0
Cethan Carter,15.0,1.0,0.0,1.0
Chad Greenway,32.0,0.0,0.0,0.0
Chad Hansen,5.0,1.0,0.0,1.0
Chad Henne,31.0,0.0,4.0,4.0
Chad Jackson,12.0,3.0,0.0,3.0
Chad Johnson,134.0,51.0,0.0,51.0
Chad Morton,47.0,1.0,0.0,1.0
Chad Pennington,63.0,0.0,7.0,7.0
Chad Simpson,25.0,0.0,3.0,3.0
Chad Williams,58.0,1.0,0.0,1.0
Chandler Jones,41.0,0.0,0.0,0.0
Chandon Sullivan,16.0,0.0,0.0,0.0
Chansi Stuckey,46.0,5.0,1.0,6.0
Charles Alexander,102.0,2.0,13.0,15.0
Charles Clay,114.0,24.0,1.0,25.0
Charles Davis,14.0,0.0,0.0,0.0
Charles Godfrey,15.0,0.0,0.0,0.0
Charles Grant,24.0,0.0,0.0,0.0
Charles Johnson,114.0,26.0,0.0,26.0
Charles Lee,15.0,3.0,0.0,3.0
Charles Rogers,14.0,4.0,0.0,4.0
Charles Sims,47.0,6.0,2.0,8.0
Charles Stackhouse,16.0,3.0,0.0,3.0
Charles Tillman,75.0,0.0,0.0,0.0
Charlie Frye,20.0,0.0,4.0,4.0
Charlie Peprah,16.0,0.0,0.0,0.0
Charlie Whitehurst,8.0,0.0,2.0,2.0
Charone Peake,15.0,0.0,0.0,0.0
Chase Coffman,15.0,2.0,0.0,2.0
Chase Edmonds,70.0,6.0,11.0,17.0
Chastin West,12.0,2.0,0.0,2.0
Chauncey Davis,32.0,0.0,0.0,0.0
Chester Taylor,151.0,6.0,26.0,32.0
Chevis Jackson,16.0,0.0,0.0,0.0
Chris Boswell,116.0,0.0,0.0,0.0
Chris Canty,16.0,0.0,0.0,0.0
Chris Carson,49.0,7.0,24.0,31.0
Chris Chambers,153.0,58.0,0.0,58.0
Chris Combs,16.0,1.0,0.0,1.0
Chris Conley,79.0,15.0,0.0,15.0
Chris Conte,14.0,0.0,0.0,0.0
Chris Cooley,103.0,33.0,0.0,33.0
Chris Culliver,14.0,0.0,0.0,0.0
Chris Gamble,46.0,0.0,0.0,0.0
Chris Givens,44.0,5.0,0.0,5.0
Chris Gocong,16.0,0.0,0.0,0.0
Chris Godwin,87.0,32.0,1.0,33.0
Chris Gragg,19.0,2.0,0.0,2.0
Chris Herndon,48.0,8.0,0.0,8.0
Chris Hope,32.0,1.0,0.0,1.0
Chris Houston,30.0,0.0,0.0,0.0
Chris Johnson,135.0,7.0,41.0,48.0
Chris Kelsay,23.0,0.0,0.0,0.0
Chris Long,16.0,0.0,0.0,0.0
Chris Moore,72.0,8.0,0.0,8.0
Chris Ogbonnaya,36.0,2.0,2.0,4.0
Chris Owusu,8.0,1.0,1.0,2.0
Chris Perry,27.0,2.0,2.0,4.0
Chris Polk,44.0,1.0,8.0,9.0
Chris Rainey,16.0,0.0,2.0,2.0
Chris Simms,3.0,0.0,1.0,1.0
Chris Taylor,4.0,0.0,1.0,1.0
Chris Warren,162.0,5.0,52.0,57.0
Chris Weinke,15.0,0.0,6.0,6.0
Chris Williams,7.0,0.0,0.0,0.0
Christian Kirk,73.0,25.0,0.0,25.0
Christian McCaffrey,59.0,18.0,23.0,41.0
Christian Ponder,27.0,0.0,7.0,7.0
Christine Michael,15.0,1.0,7.0,8.0
Chuck Clark,32.0,0.0,0.0,0.0
Ciatrick Fason,18.0,0.0,5.0,5.0
Clarence Moore,25.0,5.0,0.0,5.0
Clay Harbor,83.0,8.0,0.0,8.0
Clay Matthews,59.0,0.0,0.0,0.0
Cleo Lemon,9.0,0.0,4.0,4.0
Cliff Avril,16.0,0.0,0.0,0.0
Cliff Harris,14.0,0.0,0.0,0.0
Clifton Smith,9.0,0.0,0.0,0.0
Clint Ingram,13.0,0.0,0.0,0.0
Clinton Portis,113.0,5.0,75.0,80.0
Clive Walford,31.0,6.0,0.0,6.0
Cobi Hamilton,11.0,2.0,0.0,2.0
Coby Fleener,87.0,22.0,1.0,23.0
Cody Core,14.0,1.0,0.0,1.0
Cody Grimm,11.0,0.0,0.0,0.0
Cody Latimer,46.0,6.0,0.0,6.0
Colby Bockwoldt,16.0,0.0,0.0,0.0
Colin Kaepernick,66.0,0.0,13.0,13.0
Colin McCarthy,7.0,0.0,0.0,0.0
Colt McCoy,13.0,0.0,2.0,2.0
Connor Barwin,16.0,0.0,0.0,0.0
Conor McDermott,6.0,1.0,0.0,1.0
Cooper Carlisle,16.0,1.0,0.0,1.0
Cooper Kupp,63.0,30.0,1.0,31.0
Cordarrelle Patterson,92.0,9.0,18.0,27.0
Corey Clement,68.0,3.0,8.0,11.0
Corey Coleman,19.0,5.0,0.0,5.0
Corey Davis,67.0,17.0,0.0,17.0
Corey Fuller,48.0,1.0,0.0,1.0
Corey Graham,29.0,0.0,0.0,0.0
Corey Lemonier,16.0,0.0,0.0,0.0
Corey Liuget,16.0,0.0,0.0,0.0
Corey Peters,30.0,0.0,0.0,0.0
Corey Webster,14.0,0.0,0.0,0.0
Corey Wootton,16.0,0.0,0.0,0.0
Correll Buckhalter,103.0,6.0,21.0,27.0
Cortez Allen,14.0,0.0,0.0,0.0
Cory Harkey,31.0,3.0,0.0,3.0
Cory Littleton,16.0,0.0,0.0,0.0
Cory Redding,43.0,0.0,0.0,0.0
Cory Ross,6.0,0.0,1.0,1.0
Coty Sensabaugh,16.0,0.0,0.0,0.0
Courtland Sutton,64.0,14.0,0.0,14.0
Courtney Anderson,39.0,6.0,0.0,6.0
Courtney Brown,5.0,0.0,0.0,0.0
Courtney Roby,41.0,1.0,0.0,1.0
Craig Krenzel,6.0,0.0,0.0,0.0
Craig Stevens,61.0,6.0,0.0,6.0
Craig Terrill,16.0,0.0,0.0,0.0
Craphonso Thorpe,5.0,1.0,0.0,1.0
Crockett Gillmore,32.0,6.0,0.0,6.0
Curtis Brown,69.0,5.0,9.0,14.0
Curtis DeLoatch,7.0,0.0,0.0,0.0
Curtis Johnson,28.0,0.0,0.0,0.0
Curtis Lofton,16.0,0.0,0.0,0.0
Curtis Samuel,61.0,18.0,6.0,24.0
Cyrus Gray,9.0,0.0,1.0,1.0
Cyrus Jones,13.0,0.0,0.0,0.0
D'Onta Foreman,43.0,2.0,10.0,12.0
D'Qwell Jackson,48.0,0.0,0.0,0.0
D.D. Lewis,14.0,0.0,0.0,0.0
D.J. Hackett,33.0,9.0,0.0,9.0
D.J. Hayden,16.0,0.0,0.0,0.0
D.J. Johnson,16.0,0.0,0.0,0.0
D.J. Reed,16.0,0.0,0.0,0.0
D.J. Tialavea,2.0,1.0,0.0,1.0
Da'Norris Searcy,16.0,0.0,0.0,0.0
Da'Rel Scott,5.0,1.0,0.0,1.0
Da'Rick Rogers,5.0,2.0,0.0,2.0
DaQuan Jones,16.0,0.0,0.0,0.0
Dak Prescott,97.0,1.0,26.0,27.0
Dallas Clark,127.0,43.0,0.0,43.0
Dallas Goedert,69.0,19.0,0.0,19.0
Dalton Schultz,48.0,17.0,0.0,17.0
Dalvin Cook,73.0,5.0,47.0,52.0
Damarious Randall,29.0,0.0,0.0,0.0
Damian Williams,15.0,5.0,0.0,5.0
Damien Williams,97.0,11.0,14.0,25.0
Dan Bailey,154.0,0.0,0.0,0.0
Dan Herron,16.0,0.0,1.0,1.0
Dan Klecko,10.0,1.0,0.0,1.0
Dan Williams,14.0,0.0,0.0,0.0
Danario Alexander,28.0,10.0,0.0,10.0
Dane Cruikshank,12.0,1.0,0.0,1.0
Dane Sanzenbacher,16.0,3.0,0.0,3.0
Danieal Manning,45.0,0.0,0.0,0.0
Daniel Bullocks,16.0,0.0,0.0,0.0
Daniel Carlson,61.0,0.0,0.0,0.0
Daniel Fells,62.0,12.0,0.0,12.0
Daniel Graham,126.0,25.0,0.0,25.0
Daniel Sorensen,55.0,0.0,0.0,0.0
Daniel Thomas,62.0,3.0,10.0,13.0
Danielle Hunter,32.0,0.0,0.0,0.0
Danny Amendola,148.0,24.0,0.0,24.0
Danny Farmer,12.0,1.0,0.0,1.0
Danny Trevathan,15.0,0.0,0.0,0.0
Dante Fowler,32.0,0.0,0.0,0.0
Dante Rosario,75.0,8.0,0.0,8.0
Dante Wesley,16.0,0.0,0.0,0.0
Dare Ogunbowale,50.0,1.0,4.0,5.0
Darian Stewart,15.0,0.0,0.0,0.0
Darius Butler,41.0,0.0,0.0,0.0
Darius Johnson,10.0,1.0,0.0,1.0
Darius Reynaud,16.0,0.0,0.0,0.0
Darius Slay,31.0,0.0,0.0,0.0
Darius Walker,4.0,0.0,1.0,1.0
Darius Watts,16.0,1.0,0.0,1.0
Darnell Dockett,31.0,0.0,0.0,0.0
